rec_id,q_gram_set
96d9632f363564cc3032521409cf22a852f2032eec099ed5967c0d000cec607a,"{'oh', 'jo', 'hn'}"
0522a55e2d5f0993a3d66d28864b2862a7218a75ea7968b075333434404485c3,"{'or', 'eo', 'rg', 'ge'}"
d38681074467c0bc147b17a9a12b9efa8cc10bcf545f5b0bccccf5a93c4a2b79,"{'om', 'as', 'th', 'ho', 'ma'}"
befa156f0283eb0062beb9b86e16a413e1cf8c5135e5518d5c4fa321ce0c7b6b,"{'ur', 'ar', 'th', 'rt', 'hu'}"
119c9ae6f9ca741bd0a76f87fba0b22cab5413187afb2906aa2875c38e213603,"{'am', 'es', 'ja', 'me'}"
10fe82adb964fa73c3c60be251181c421193f56ae01ba671974d82365a08a410,"{'rl', 'le', 'ar', 'es', 'ch', 'ha'}"
2c58b83b1c66829ff6068991644b793f6369e365b87f790eae4a40ecd9718000,"{'re', 'de', 'ck', 'er', 'ed', 'fr', 'ri', 'ic'}"
72d0166b5707d129dc321e56692fe454c034552ee9e2b38f5a7f1c1306a632ea,"{'al', 'lb', 'be', 'rt', 'er'}"
61a3c22a310f6b6328941b54bab34d646e3ccd15a67504c7403ddef7d80f0e43,"{'st', 'rn', 'ne', 'es', 'er'}"
7b2b547ab5377906300c69cd065aa48ecc143ddcd9501ef2b7c6408cc3592ac3,"{'fr', 're', 'al', 'lf', 'ed'}"
2632ec06e2c2e54a52245ffd9e5af1cb65b21a4cdb031d4e11383719cf8c0ca4,"{'rd', 'ar', 'dw', 'wa', 'ed'}"
7ee8118150e0ce023742beba6f10bf23aabbf0bc2c182f36fd1a6753cd21b4c6,"{'ph', 'os', 'se', 'ep', 'jo'}"
0a348ac4d94f9da05a7866a206ed7936ad3f5504e659ac1c814e63adfcebff81,"{'ld', 'ro', 'ar', 'ol', 'ha'}"
4007d46292298e83da10d0763d95d5139fe0c157148d0587aa912170414ccba6,"{'ro', 'ob', 'be', 'rt', 'er'}"
77646f5a4f3166637627abe998e7a1470fe72d8b430f067dafa86263f1f23f94,"{'fr', 'ra', 'an', 'nk'}"
927a3aed189d610b2e151c4208913b3ed0cb38f6be613756819b1513c8924d7f,"{'he', 'ry', 'nr', 'en'}"
df46219531cb5d522d0845901978dccfa286a5b0437f4f9cd4e485064f6b632c,"{'ar', 'ry', 'rr', 'ha'}"
4748d4c802a775e8db9a23ec58f0986cacdc5d2d3356d22c490a7d22331ff133,"{'te', 'al', 'er', 'wa', 'lt'}"
be37e56f6f6a7dfb95952a780b9be2b3b465e468c56307c143a745c3a7c681e0,"{'ld', 'na', 're', 'al', 'eg', 'in', 'gi'}"
f65cbc6391f5a2834478811d9c811b83f51fda4fc030462b9c08776fb6d78751,"{'rb', 'he', 'be', 'rt', 'er'}"
b76aefa8fe4304f650962fb4af77b4db4b13d34ac9615391126027232ec16822,"{'na', 'eo', 'on', 'le', 'rd', 'ar'}"
c604dabc9591840978d2585238a908898b22e3337b207dc722ae208eb204c291,"{'st', 'ey', 'an', 'le', 'ta', 'nl'}"
104f24e15f4dba76498bb256593dc6d95876d881ee2201ff369225b6d51e8b45,"{'sl', 'le', 'es', 'ie', 'li'}"
61bffea9215f65164ad18b45aff1436c0c165d0d5dd2087ef61b4232ba6d2c1a,"{'ri', 'rd', 'ic', 'ar', 'ch', 'ha'}"
9376a4f3fdd56078495abf7c0c58b0f5c0f36e9298e2d406690fc6bb7a908098,"{'yr', 'il', 'cy', 'ri'}"
e560f6cb8384862b7c6768ebd40f2d8f4fa52b3ab407398a463a8b7b04297b2d,"{'id', 'si', 'ey', 'ne', 'dn'}"
fe384adb7e67d54e973c65b0174e3de5d8288e483958da561d39c98ddb1cc5d4,"{'fr', 'ra', 'an', 'nc', 'ci', 'is'}"
715773c66c9347749f5921bdce502d7de7081e19d07c7b40a70f19665700d919,"{'pe', 'rc', 'cy', 'er'}"
07d046d5fac12b3f82daf5035b9aae86db5adc8275ebfbf05ec83005a4a8ba3e,"{'id', 'av', 'vi', 'da'}"
65aa4cb4c1a995486dcc932c3a11ab0cf92d36207f9eaf0cbc6409f67a661f57,"{'fr', 're', 'lf', 'il', 'wi', 'ed'}"
90cc33a41b541af2c1964e3e10a46088cbdedf63031efaa35d588a698c91193f,"{'ue', 'sa', 'el', 'mu', 'am'}"
8548d75fcb3a2a275a1ba868a36f6a26e528f16b07aa7d8006616ad090a9b349,"{'or', 'an', 'no', 'rm', 'ma'}"
9e4e5ff25a8f5c65363b8f54e10727544099de8b7c95d297e6dcff126763f982,"{'ec', 'il', 'ce', 'ci'}"
6f9edcd3408cbda14a837e6a44fc5b7f64ccc9a2477c1498fcb13c777ffb9605,"{'ic', 'ri', 'er'}"
e8032604447171cc6e65cfb98ff38ccbf9f5f9113e0cb63060533ed86ad0032e,"{'ey', 'ne', 'yd', 'dn', 'sy'}"
330f5de75f031a5cbab6916f83c6994bd2a25398dc24b76d9d33aa65b03c50c7,"{'or', 'ra', 'ce', 'ac', 'ho'}"
d0cfc2e5319b82cdc71a33873e826c93d7ee11363f8ac91c4fa3a2cfcd2286e5,"{'fr', 're', 'ed'}"
31611159e7e6ff7843ea4627745e89225fc866621cfcfdbd40871af4413747cc,"{'ck', 'ja', 'ac'}"
3dfbf1fbdbf9d2eb39e14955dcfd073792ebed8c9b97995210e70c4059be13c9,"{'wi', 'in', 'dw', 'ed'}"
